"","service_point_sn","product","installation_date","AverageDailyConsumptionBefore","AverageDailyConsumptionAfter","ConsumptionChange","AverageMax5FlowBefore","AverageMax5FlowAfter","Max5FlowChange","AverageMax15FlowBefore","AverageMax15FlowAfter","Max15FlowChange"
"1","3004478961","amphiro",2017-08-03,753,642,"-14.7%",683,589,"-13.8%",428,317,"-25.9%"
"2","3004520967","amphiro",2017-08-02,1933,1843,"-4.7%",899,841,"-6.5%",633,583,"-7.9%"
"3","3100159631","amphiro",2017-08-03,851,825,"-3.1%",642,682,"6.2%",317,330,"4.1%"
"4","3100159963","amphiro",2017-08-11,860,872,"1.4%",690,702,"1.7%",421,402,"-4.5%"
"5","3100250238","amphiro",2017-09-27,129,118,"-8.5%",322,217,"-32.6%",161,112,"-30.4%"
"6","3004478847","showerhead",2017-07-20,815,822,"0.9%",772,782,"1.3%",559,540,"-3.4%"
"7","3004479481","showerhead",2017-07-13,1179,1215,"3.1%",929,839,"-9.7%",471,461,"-2.1%"
"8","3004479551","showerhead",2017-07-13,606,604,"-0.3%",743,702,"-5.5%",384,353,"-8.1%"
"9","3004479870","showerhead",2017-08-03,1641,1422,"-13.3%",764,770,"0.8%",429,438,"2.1%"
"10","3004520967","showerhead",2017-07-13,1933,1843,"-4.7%",899,841,"-6.5%",633,583,"-7.9%"
"11","3005448479","showerhead",2017-07-13,1380,1354,"-1.9%",845,869,"2.8%",542,548,"1.1%"
"12","3100159499","showerhead",2017-09-06,1197,1230,"2.8%",767,672,"-12.4%",517,463,"-10.4%"
"13","3100159971","showerhead",2017-08-11,1011,999,"-1.2%",668,688,"3.0%",429,436,"1.6%"
"14","3100249926","showerhead",2017-08-11,385,461,"19.7%",374,384,"2.7%",259,252,"-2.7%"
