"","Date","Low","Moderate","Regular","Unique","Total"
"1",2018-06-21,0,0,1,0,1
"2",2018-06-22,0,0,1,0,1
"3",2018-06-25,0,0,1,0,1
"4",2018-06-26,0,0,2,0,2
"5",2018-06-27,0,1,1,0,2
"6",2018-06-28,0,2,2,1,5
"7",2018-06-29,0,3,4,0,7
"8",2018-06-30,1,4,6,2,13
"9",2018-07-01,5,3,6,1,15
"10",2018-07-02,4,2,7,0,13
"11",2018-07-03,11,6,17,4,38
"12",2018-07-04,10,5,21,1,37
"13",2018-07-05,3,3,20,0,26
"14",2018-07-06,15,8,19,0,42
"15",2018-07-07,11,0,19,0,30
"16",2018-07-08,3,1,21,0,25
"17",2018-07-09,0,2,24,1,27
"18",2018-07-10,7,4,23,0,34
"19",2018-07-11,0,2,24,0,26
"20",2018-07-12,2,1,24,0,27
"21",2018-07-13,1,1,22,0,24
"22",2018-07-14,1,1,21,1,24
"23",2018-07-15,0,0,22,0,22
"24",2018-07-16,0,1,24,0,25
"25",2018-07-17,3,2,23,1,29
"26",2018-07-18,3,1,22,1,27
"27",2018-07-19,0,3,20,0,23
"28",2018-07-20,2,0,25,1,28
"29",2018-07-21,3,2,20,0,25
"30",2018-07-22,5,2,24,0,31
"31",2018-07-23,2,2,25,1,30
"32",2018-07-24,1,2,26,1,30
"33",2018-07-25,0,1,24,0,25
"34",2018-07-26,4,4,25,1,34
"35",2018-07-27,5,2,30,0,37
"36",2018-07-28,1,0,25,1,27
"37",2018-07-29,0,1,26,2,29
"38",2018-07-30,2,1,29,0,32
"39",2018-07-31,0,0,26,1,27
"40",2018-08-01,2,4,30,0,36
"41",2018-08-02,2,4,31,0,37
"42",2018-08-03,3,2,33,0,38
"43",2018-08-04,1,0,28,0,29
"44",2018-08-05,1,1,30,0,32
"45",2018-08-06,16,7,34,0,57
"46",2018-08-07,1,0,34,0,35
"47",2018-08-08,0,0,28,0,28
"48",2018-08-09,0,1,24,0,25
"49",2018-08-10,0,1,27,0,28
"50",2018-08-11,2,1,29,0,32
"51",2018-08-12,6,5,30,0,41
"52",2018-08-13,0,1,29,1,31
"53",2018-08-14,0,2,29,1,32
"54",2018-08-15,4,3,29,0,36
"55",2018-08-16,1,0,28,0,29
"56",2018-08-17,1,0,29,0,30
"57",2018-08-18,1,2,28,0,31
"58",2018-08-19,0,1,28,0,29
"59",2018-08-20,2,0,27,0,29
"60",2018-08-21,2,2,26,0,30
"61",2018-08-22,4,4,26,0,34
"62",2018-08-23,0,1,25,0,26
"63",2018-08-24,2,4,31,0,37
"64",2018-08-25,0,2,23,0,25
"65",2018-08-26,0,0,28,0,28
"66",2018-08-27,4,3,30,0,37
"67",2018-08-28,1,2,32,0,35
"68",2018-08-29,3,2,30,0,35
"69",2018-08-30,0,1,29,0,30
"70",2018-08-31,1,0,30,0,31
"71",2018-09-01,4,2,31,0,37
"72",2018-09-02,0,3,30,0,33
"73",2018-09-03,9,7,31,0,47
"74",2018-09-04,2,3,31,0,36
"75",2018-09-05,0,1,27,0,28
"76",2018-09-06,0,0,31,1,32
"77",2018-09-07,0,0,30,0,30
"78",2018-09-08,0,0,31,0,31
"79",2018-09-09,1,0,27,0,28
"80",2018-09-10,1,0,33,0,34
"81",2018-09-11,0,1,31,0,32
"82",2018-09-12,0,0,28,0,28
"83",2018-09-13,0,2,33,0,35
"84",2018-09-14,0,1,29,0,30
"85",2018-09-15,0,1,30,0,31
"86",2018-09-16,0,0,33,0,33
"87",2018-09-17,2,0,35,0,37
"88",2018-09-18,0,1,32,0,33
"89",2018-09-19,0,1,27,0,28
"90",2018-09-20,0,2,33,0,35
"91",2018-09-21,0,1,24,0,25
"92",2018-09-22,0,0,25,0,25
"93",2018-09-23,0,2,29,0,31
"94",2018-09-24,0,0,29,0,29
"95",2018-09-25,0,0,28,0,28
"96",2018-09-26,0,0,31,0,31
"97",2018-09-27,0,1,30,0,31
"98",2018-09-28,0,1,30,0,31
"99",2018-09-29,0,1,31,0,32
"100",2018-09-30,1,3,28,0,32
"101",2018-10-01,1,0,29,0,30
"102",2018-10-02,5,6,32,0,43
"103",2018-10-03,5,0,33,0,38
"104",2018-10-04,0,1,32,0,33
"105",2018-10-05,0,0,33,0,33
"106",2018-10-06,0,1,33,0,34
"107",2018-10-07,2,0,27,0,29
"108",2018-10-08,0,1,34,0,35
"109",2018-10-09,0,0,29,0,29
"110",2018-10-10,1,0,28,0,29
"111",2018-10-11,1,0,31,0,32
"112",2018-10-12,0,2,31,0,33
"113",2018-10-13,1,0,28,1,30
"114",2018-10-14,0,0,29,0,29
"115",2018-10-15,0,1,32,0,33
"116",2018-10-16,1,2,32,4,39
"117",2018-10-17,0,1,13,0,14
"118",2018-10-18,0,0,2,0,2
"119",2018-10-19,1,0,2,0,3
"120",2018-10-22,0,0,2,0,2
"121",2018-10-24,0,0,3,0,3
"122",2018-10-26,0,0,2,0,2
