"Year";"Week";"WeeklyLPCD_Online";"WeeklyLPCD_Offline";"YearWeek"
"2018";"03";111;112;"2018_03"
"2018";"04";131;129;"2018_04"
"2018";"05";130;131;"2018_05"
"2018";"06";132;133;"2018_06"
"2018";"07";135;135;"2018_07"
"2018";"08";132;127;"2018_08"
"2018";"09";131;129;"2018_09"
"2018";"10";128;129;"2018_10"
"2018";"11";129;129;"2018_11"
"2018";"12";130;128;"2018_12"
"2018";"13";127;129;"2018_13"
"2018";"14";130;132;"2018_14"
"2018";"15";132;130;"2018_15"
"2018";"16";131;131;"2018_16"
"2018";"17";133;131;"2018_17"
"2018";"18";136;131;"2018_18"
"2018";"19";135;132;"2018_19"
"2018";"20";135;131;"2018_20"
"2018";"21";137;134;"2018_21"
"2018";"22";134;132;"2018_22"
"2018";"23";135;131;"2018_23"
"2018";"24";134;133;"2018_24"
"2018";"25";133;131;"2018_25"
"2018";"26";132;130;"2018_26"
"2018";"27";141;136;"2018_27"
"2018";"28";129;135;"2018_28"
"2018";"29";131;136;"2018_29"
"2018";"30";134;136;"2018_30"
"2018";"31";129;133;"2018_31"
"2018";"32";133;136;"2018_32"
"2018";"33";133;136;"2018_33"
"2018";"34";130;138;"2018_34"
"2018";"35";127;134;"2018_35"
"2018";"36";125;131;"2018_36"
"2018";"37";128;134;"2018_37"
"2018";"38";132;133;"2018_38"
"2018";"39";135;133;"2018_39"
"2018";"40";134;137;"2018_40"
"2018";"41";131;136;"2018_41"
"2018";"42";133;135;"2018_42"
