"","service_point_sn","LeakVolume"
"1","3004478658",7176
"2","3004478742",6664
"3","3004478795",1536
"4","3004479149",842
"5","3004479606",719
"6","3004479661",3102
"7","3004520880",2144
"8","3004520911",11524
"9","3004521085",7936
"10","3004521205",1392
"11","3004521354",1272
"12","3004521518",800
"13","3004521979",13830
"14","3004522058",240
"15","3005448539",576
"16","3005448647",1152
"17","3005448719",641
"18","3005448783",128
"19","3090005202B",138207
"20","3100159479",1535
"21","3100159491",1158
"22","3100159643",1824
"23","3100159755",160
"24","3100159767",288
"25","3100249926",9563
"26","3100249978",312
"27","3100249998",168
"28","3100250082",15266
"29","3100250306",480
"30","3100250338",192
